[INFO ] 2019-11-02T08:28:35,653 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:36,928 [pool-1-thread-1] RPCClient - Startup took 1249 msec
[INFO ] 2019-11-02T08:28:37,747 [pool-1-thread-1] PluginsService - no modules loaded
[INFO ] 2019-11-02T08:28:37,749 [pool-1-thread-1] PluginsService - loaded plugin [org.elasticsearch.index.reindex.ReindexPlugin]
[INFO ] 2019-11-02T08:28:37,750 [pool-1-thread-1] PluginsService - loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
[INFO ] 2019-11-02T08:28:37,750 [pool-1-thread-1] PluginsService - loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
[INFO ] 2019-11-02T08:28:37,750 [pool-1-thread-1] PluginsService - loaded plugin [org.elasticsearch.script.mustache.MustachePlugin]
[INFO ] 2019-11-02T08:28:37,751 [pool-1-thread-1] PluginsService - loaded plugin [org.elasticsearch.transport.Netty4Plugin]
[INFO ] 2019-11-02T08:28:39,645 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:39,890 [pool-1-thread-1] RPCClient - Startup took 244 msec
[INFO ] 2019-11-02T08:28:40,303 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:40,450 [pool-1-thread-1] RPCClient - Startup took 145 msec
[INFO ] 2019-11-02T08:28:40,903 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:41,057 [pool-1-thread-1] RPCClient - Startup took 153 msec
[INFO ] 2019-11-02T08:28:41,480 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:41,609 [pool-1-thread-1] RPCClient - Startup took 128 msec
[INFO ] 2019-11-02T08:28:42,095 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:42,279 [pool-1-thread-1] RPCClient - Startup took 183 msec
[INFO ] 2019-11-02T08:28:43,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:43,529 [pool-1-thread-1] RPCClient - Startup took 211 msec
[INFO ] 2019-11-02T08:28:43,950 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:44,091 [pool-1-thread-1] RPCClient - Startup took 139 msec
[INFO ] 2019-11-02T08:28:46,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:46,501 [pool-1-thread-1] RPCClient - Startup took 182 msec
[INFO ] 2019-11-02T08:28:46,893 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:47,027 [pool-1-thread-1] RPCClient - Startup took 133 msec
[INFO ] 2019-11-02T08:28:49,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:49,485 [pool-1-thread-1] RPCClient - Startup took 166 msec
[INFO ] 2019-11-02T08:28:49,812 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:49,957 [pool-1-thread-1] RPCClient - Startup took 143 msec
[INFO ] 2019-11-02T08:28:52,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:52,473 [pool-1-thread-1] RPCClient - Startup took 154 msec
[INFO ] 2019-11-02T08:28:52,916 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:53,086 [pool-1-thread-1] RPCClient - Startup took 169 msec
[INFO ] 2019-11-02T08:28:55,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:55,532 [pool-1-thread-1] RPCClient - Startup took 214 msec
[INFO ] 2019-11-02T08:28:55,846 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:28:56,034 [pool-1-thread-1] RPCClient - Startup took 187 msec
[INFO ] 2019-11-02T08:28:58,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:28:58,554 [pool-1-thread-1] RPCClient - Startup took 234 msec
